Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,2815WGRNHC2PARP,110062638597.0,GREENHECK FAN CORP - SHELBY CAMPUS,2000 PARTNERSHIP DRIVE,SHELBY,CLEVELAND,NC,28150,35.3036,-81.6094,GREENHECK FAN CORP,NO,Machinery,Copper,NO
2021,2840WWLBRL462HI,110056968116.0,WILBARA LLC,4620 HWY 421 N,WILMINGTON,NEW HANOVER,NC,28401,34.23497,-77.94599,DULANY INDUSTRIES,NO,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO
2021,27403MRFLX2110H,110000346527.0,VERTELLUS GREENSBORO LLC,2110 W GATE CITY BLVD,GREENSBORO,GUILFORD,NC,27403,36.05963,-79.82714,V GLOBAL HOLDINGS LLC,NO,Chemicals,Ethylene glycol,NO
2021,28144NTNLL1709J,110000348927.0,GRANGES AMERICAS INC,1709 JAKE ALEXANDER BLVD S,SALISBURY,ROWAN,NC,28146,35.64153,-80.4729,GRANGES AMERICAS INC,NO,Primary Metals,Lead,YES
2021,2873WGFLNM49FER,110069993050.0,LINAMAR LIGHT METALS-MR,490 FERNCLIFF PARK DRIVE,MILLS RIVER,HENDERSON,NC,28732,35.427569,-82.542922,NA,NO,Primary Metals,Copper,NO
2021,28677KWNSC2700W,110000861648.0,KEWAUNEE SCIENTIFIC CORP.,2700 W FRONT ST,STATESVILLE,IREDELL,NC,28677,35.79202,-80.93176,NA,NO,Furniture,Phthalic anhydride,NO
2021,2867WMNTRF226WF,110001495141.0,MOUNTAIRE FARMS INC.- STATESVILLE FEED MILL,2206 W FRONT ST,STATESVILLE,IREDELL,NC,28677,35.78991,-80.92589,MOUNTAIRE FARMS INC,NO,Food,Manganese compounds,NO
2021,28166NGNRD250OL,110000349169.0,ENGINEERED SINTERED COMPONENTS,250 OLD MURDOCK RD,TROUTMAN,IREDELL,NC,28166,35.7102,-80.8898,NA,NO,Fabricated Metals,Copper,NO
2021,28043RQPCRROUTE,110000348099.0,DANFOSS POWER SOLUTIONS,240 DANIEL RD,FOREST CITY,RUTHERFORD,NC,28043,35.34058,-81.90191,DANFOSS POWER SOLUTIONS (US) CO,NO,Plastics and Rubber,Di(2-ethylhexyl) phthalate,YES
2021,28669BTBPRHWY26,110007659006.0,LOUISIANA-PACIFIC CORP,1068 ABTCO RD,NORTH WILKESBORO,WILKES,NC,28659,36.1986,-81.0356,LOUISIANA PACIFIC CORP,NO,Wood Products,Zinc compounds,NO
2021,27559TRNGLUSHWY,110000346983.0,TRIANGLE BRICK - MERRY OAKS,294 KING RD,MONCURE,CHATHAM,NC,27559,35.64351,-79.00093,TRIANGLE BRICK CO,NO,Nonmetallic Mineral Product,Manganese compounds,NO
2021,28365CRLNTPOBOX,110000562221.0,BUTTERBALL LLC,1628 GARNER'S CHAPEL,MOUNT OLIVE,DUPLIN,NC,28365,35.142744,-77.912512,SEABOARD CORP,NO,Food,Ammonia,NO
2021,2811WTLLVC375AL,110018570688.0,ATI SPECIALTY MATERIALS - BAKERS SITE,3750 ALLOY WAY,MONROE,UNION,NC,28110,35.01803,-80.612762,ALLEGHENY TECHNOLOGIES INC,NO,Primary Metals,Manganese,NO
2021,28787RLNCLREEMS,110000351681.0,DODGE MECHANICAL POWER TRANSMISSION CO,70 REEMS CREEK RD,WEAVERVILLE,BUNCOMBE,NC,28787,35.68472,-82.56483,RBC BEARINGS INC,NO,Machinery,Lead,YES
2021,28677SMNRT1804C,110000351333.0,DENSO MANUFACTURING NORTH CAROLINA INC. - STATESVILLE PLANT,470 CRAWFORD RD,STATESVILLE,IREDELL,NC,28625,35.83272,-80.85087,DENSO INTERNATIONAL AMERICA INC,NO,Transportation Equipment,Copper  And Copper Compounds,NO
2021,2813WCNCRT12148,110001499361.0,CONCRETE SUPPLY CO.  LLC - ARROWOOD,12148 NATIONS FORD RD,CHARLOTTE,MECKLENBURG,NC,28134,35.100276,-80.917104,CONCRETE SUPPLY CO LLC,NO,Nonmetallic Mineral Product,Lead  And Lead Compounds,NO
2021,27573LSNPC10475,110000492636.0,LOUISIANA PACIFIC CORP. ROXBOR O OSB,10475 BOSTON RD,ROXBORO,PERSON,NC,27574,36.52113,-78.90658,LOUISIANA PACIFIC CORP,NO,Wood Products,Acrolein,NO
2021,28601SHFRDLIGHL,110000350539.0,SHURTAPE TECHNOLOGIES LLC - HICKORY TAPE PLANT,1620 HIGHLAND AVENUE NE,HICKORY,CATAWBA,NC,28601,35.738,-81.309,STM INC,NO,Paper,Xylene (mixed isomers),NO
2021,27702STHCH2000E,110000347303.0,BRENNTAG MID-SOUTH,2000 E PETTIGREW ST,DURHAM,DURHAM,NC,27703,35.979401,-78.880293,BRENNTAG NORTH AMERICA INC,NO,Chemical Wholesalers,n-Hexane,NO
2021,28110YLSCRHWY74,110000348570.0,"YALE SECURITY INC.,NORTON DOOR CONTROLS",3000 HWY 74 E,MONROE,UNION,NC,28112,34.980791,-80.47859,NA,NO,Fabricated Metals,Copper,NO
2021,2732WCLNHR28WAT,110058305490.0,CLEAN HARBORS REIDSVILLE LLC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,ROCKINGHAM,NC,27320,36.320466,-79.648583,CLEAN HARBORS INC,NO,Hazardous Waste,Mercury  And Mercury Compounds,NO
2021,2808WBLCHF77BRA,110012656606.0,BLACHFORD RP CORP,707 BROADVIEW DRIVE,KINGS MOUNTAIN,CLEVELAND,NC,28086,35.23,-81.32848,BLACHFORD ENTERPRISES INC,NO,Plastics and Rubber,Zinc compounds,NO
2021,28270QNTMC1337N,110015680949.0,QUANTUM COATINGS INC,1337 WOOD BRANCH DR,CHARLOTTE,MECKLENBURG,NC,28273,35.12449,-80.92538,NA,NO,Chemicals,Zinc compounds,NO
2021,28804RVCSC275AI,110009296699.0,THERMO FISHER SCIENTIFIC,275 AIKEN RD,ASHEVILLE,BUNCOMBE,NC,28804,35.6849,-82.57636,THERMO FISHER SCIENTIFIC INC,NO,Machinery,Aluminum (fume or dust),NO
